Offset,Hitrate
1,90.47546012269939
10,94.41717791411043
20,94.09509202453987
30,94.30981595092025
40,94.18711656441717
50,94.57055214723926
60,94.4478527607362
70,94.32515337423313
80,94.47852760736196
90,94.2638036809816
100,94.52453987730062
110,94.38650306748466
120,94.43251533742332
130,94.11042944785276
140,94.38650306748466
150,94.20245398773006
