Offset,OOB Error
1,1.0545689919637706
10,1.0436673825606817
20,1.042632319378301
30,1.0320244504611238
40,1.0369774448771982
50,1.0342137651098813
60,1.0423316530091569
70,1.04001666580333
80,1.0421217098452602
90,1.036984049475028
100,1.0426843987600993
110,1.0397417807189333
120,1.037911264724952
130,1.0429911495872184
140,1.04239321065574
150,1.0452654694462662
