number_of_features,cross_validation_score
1,0.992912159787531
2,0.9929214845810634
3,0.992586190292154
4,0.9924788669606898
5,0.9924475669152661
6,0.9921980297211425
7,0.9924426430361795
8,0.9920584214433387
9,0.9920442704968371
10,0.9917795667060154
11,0.9916346996383645
12,0.9912708090749179
13,0.9912736673473932
14,0.9911300655405085
15,0.9908400680724132
16,0.9910206628930615
17,0.9907661072659308
18,0.9907662645838734
19,0.9907003641280377
20,0.9906733087429126
21,0.9902090221530733
22,0.9905017931719298
23,0.9902947837531537
24,0.9898413563746079
25,0.9898766012822244
26,0.9899686371894877
27,0.989650673640722
28,0.9896635183701893
29,0.9899963208755602
30,0.9901290712264166
31,0.990126095707929
32,0.9895428043241274
33,0.9898047466385673
34,0.989585623165717
35,0.9893459166599975
36,0.9891427670796809
37,0.9892399514450574
38,0.989221287077854
39,0.9893949112578696
40,0.9890762739529462
41,0.9892583686210304
42,0.9896255350273696
43,0.9885190450900018
44,0.9883062464371909
45,0.9880061372406314
46,0.9884794616998906
47,0.9885231067524058
48,0.9884935994283607
49,0.9884366936726569
50,0.9884918974448768
51,0.9880460344007185
52,0.9879961019344101
53,0.9883757978396799
54,0.9883062378400655
55,0.9884563043006851
56,0.9884303717222724
57,0.9889097531265298
58,0.9878800389646756
59,0.988173202657431
60,0.9878399546789804
61,0.988163828017999
62,0.9881315295292925
63,0.9877863891077316
64,0.987788579322362
65,0.9879359250417744
66,0.9872424426449635
67,0.9870220660027211
68,0.9865274082943009
69,0.9870989782951314
70,0.9869129699024762
71,0.98677589087036
72,0.9871912346535081
73,0.9861596692191477
74,0.9870717844521669
75,0.9871742515884014
76,0.9870099564712044
77,0.9866049747638727
78,0.9872413511169867
79,0.9870003239239405
80,0.9859344306322406
81,0.9860649446845002
82,0.9865947410601559
83,0.9865168459301483
84,0.9858328514467948
85,0.9859137578484891
86,0.9854871960827385
87,0.9855237974502451
88,0.9853945931068694
89,0.9858341620528558
90,0.9855754049114578
91,0.9857724626594987
92,0.9850120826482158
93,0.9850805975275984
94,0.9848130783894573
95,0.9851597677665482
96,0.9851891674255857
97,0.9851588592394526
98,0.9853434788374218
99,0.9853087928249818
100,0.9853613066573976
101,0.985172002519969
102,0.9856621134840232
103,0.9851247019158306
104,0.9855948623300517
105,0.9855473380196829
106,0.9855934815633043
107,0.9857664440195683
108,0.9859439321574615
109,0.9859678861975218
110,0.9854766685697426
111,0.9853809418275254
112,0.9852073281094549
113,0.98560878055514
114,0.9855032137837441
115,0.9855872711429374
116,0.9855629738074505
117,0.9855147468949749
118,0.9858852393134384
119,0.9855807975347398
120,0.9855879828277576
121,0.9851496233234162
122,0.9854943024711188
123,0.9856486065684151
124,0.9853298669024472
125,0.9851514593332078
126,0.9853114383604431
127,0.9845696770076755
128,0.984432508354406
129,0.9843869689088198
130,0.9845603578151951
131,0.9843498159224126
132,0.9843438381583759
133,0.9843841567759288
134,0.9850667356114226
135,0.9854007713288186
136,0.9854723426590727
137,0.9851215203886904
138,0.9850724849969819
139,0.9854662360795912
140,0.9860548090858294
141,0.9858456302878122
142,0.9855174655689419
143,0.9857010146616538
144,0.9855058072454319
145,0.9856021120317051
146,0.9857289972470857
147,0.9858037051053146
148,0.9855027716215264
149,0.985865954646937
150,0.9858470696148552
151,0.9857378053538813
152,0.9857831187095213
153,0.985714012593963
154,0.9858560253729614
155,0.9855817128255311
156,0.9857701773451574
157,0.985727642165845
158,0.9857951983777964
159,0.986028303160337
160,0.9860818814109102
161,0.9862040089987041
162,0.9864401154448345
163,0.9863706007032794
164,0.986451473145262
165,0.9861032991127351
166,0.9860300645127053
167,0.9861036451963271
168,0.9863648423073933
169,0.9864945521745401
170,0.9861361159554253
171,0.9863282758168384
172,0.9860407665351782
173,0.9859074206266584
174,0.9858907906719612
175,0.9861243549767369
176,0.9859128520512618
177,0.98601976853838
178,0.9862570325454157
179,0.9861659674197154
180,0.9860361252777683
181,0.9859177645917587
182,0.985996051864347
183,0.9858872035247455
184,0.9860898988072234
185,0.9860703611873088
186,0.9860099973563152
187,0.9859136394534413
188,0.9859070771565204
189,0.9860292007567388
190,0.9862246762177339
191,0.9861555120520077
192,0.9860354797594519
193,0.9862612932181427
194,0.9861843584327079
195,0.9860493691470411
196,0.9861057078573477
197,0.9861907663370003
198,0.9860352551833049
199,0.9859670320502557
200,0.9858302010428943
201,0.9858510220381328
202,0.9859612449173218
203,0.98587456017439
204,0.9858878151001365
205,0.9856679892131639
206,0.9859793276479267
207,0.9859745420782657
208,0.9858237333836822
209,0.985455305047328
210,0.9854484810026699
211,0.9855916743427289
212,0.9856446223107362
213,0.9857181895886841
214,0.9856066443309967
215,0.9855043497482437
216,0.985507493626069
217,0.9856053789796138
218,0.9855226610607855
219,0.9857910562264841
220,0.9856535022460322
221,0.98555443812023
222,0.9855747126442053
223,0.9856169523870791
224,0.9855835382122736
225,0.985685891810175
226,0.9855003443318482
227,0.9855230378884802
228,0.985585036386318
229,0.9855728697472825
230,0.9857071971039899
231,0.985579195545203
232,0.9852941488922349
233,0.985294869483187
234,0.985204206826151
235,0.9853923347912085
236,0.9854924799221918
237,0.9855793472097206
238,0.9856819885933282
239,0.9853532118869468
240,0.9852444337417399
241,0.9852405571447884
242,0.9852237159699447
243,0.9851044372151649
244,0.9850517583026399
245,0.9849475702648407
246,0.984880791945052
247,0.9849249827043742
248,0.9851636917344073
249,0.9850114047135332
250,0.984959524269105
251,0.9849936069778307
252,0.9847816062336401
253,0.9847928106606757
254,0.9848944996858096
255,0.9849573670463997
256,0.9848570265995302
257,0.9849034130264943
258,0.9849621587800955
259,0.9849335618473505
260,0.9851485888916773
261,0.9850286938897359
262,0.9849966945798325
263,0.9852081458904817
264,0.9851452037811663
265,0.9851100722633944
266,0.9851615173588997
267,0.9850922937131154
268,0.9850334421699539
269,0.9850990744648035
270,0.9848915847377757
271,0.9847657238330054
272,0.984936062821944
273,0.9845464430548223
274,0.9845616707940599
275,0.9849407047866879
276,0.984834846284589
277,0.9846821983560583
278,0.9846859053579677
279,0.9845980442736749
280,0.984431773125718
281,0.9843535244222623
282,0.9843569668884651
283,0.9843280464096299
284,0.9842894699222787
285,0.9843457812931922
286,0.9843332424737742
287,0.9842503547754655
288,0.9843875242722631
289,0.9844621715013894
290,0.9841115397478208
291,0.9842320456171626
292,0.9842265473121113
293,0.9841642842224729
294,0.984127995654849
295,0.9842391850010441
296,0.9840719622830978
297,0.9837293945369929
298,0.9837478192525164
299,0.9840166826594026
300,0.9839595093976474
301,0.98399972667316
302,0.9840483968092186
303,0.9841826108396473
304,0.9841780763803012
305,0.9841632688846144
306,0.9842342902489323
307,0.9841945119115756
308,0.9844097031560237
309,0.9843682168752735
310,0.984276420671765
311,0.9841069601938323
312,0.9841561565206552
313,0.984220914356895
