Offset,MAPE
1,2.3370253715769653
10,2.339834842973975
20,4.587975487545544
30,1.5615934446873743
40,2.318149493703409
50,2.534189463891409
60,2.7389683649721754
70,1.9320066090104673
80,1.8578983193784067
90,1.7781850874825078
100,2.4109429329105123
110,2.988933858672527
120,1.9827622063530388
130,1.7928026120361238
140,2.6895583186670295
150,2.4552096536020924
